domain,portal_system,portal_subdomain,confidence,detection_method,validated,doors
757rentalhomes.com,unknown,,low,not_found,0,100
764theagency.com,unknown,,low,not_found,0,100
7gpropertymanagement.com,appfolio,,high,homepage_fetch,0,100
7hillspropertymanagement.com,appfolio,sevenhillspm.appfolio.com,high,secondary_page:/tenants/,1,200
7rent.com,appfolio,sevenrent.appfolio.com,high,homepage_fetch,1,200
802pm.com,unknown,,low,not_found,0,100
806propertymanagement.com,appfolio,mcguirere.appfolio.com,low,homepage_fetch,0,100
816propertymanagement.com,unknown,,low,not_found,0,100
8321111.com,unknown,,low,not_found,0,200
855manager.com,unknown,,low,not_found,0,200
887rent.com,appfolio,,high,homepage_fetch,0,100
899-rent.com,propertyware,app.propertyware.com,high,homepage_fetch,0,100
901res.com,appfolio,res901.appfolio.com,high,homepage_fetch,1,300
915welcomehomerealty.com,unknown,,low,not_found,0,100
918propertymanagement.com,unknown,,low,not_found,0,100
970rent.com,appfolio,rpmco001.appfolio.com,low,homepage_fetch,0,300
99pm.com,buildium,99pm.managebuilding.com,medium,subdomain_probe,1,200
9westpropertymanagement.com,unknown,,low,not_found,0,100
a1propertyman.com,unknown,,low,not_found,0,200
aaamcnamaraproperties.com,unknown,,low,not_found,0,100
aaapremierpropertymanagementllc.com,unknown,,low,not_found,0,100
aaapropertymanagement.com,appfolio,aaaprop.appfolio.com,low,homepage_fetch,0,100
aaassociatesrealtyandpropertymgmt.com,unknown,,low,not_found,0,0
aagpropertymanagement.com,appfolio,scaliforniarealty.appfolio.com,low,homepage_fetch,0,100
aahrentals.com,unknown,,low,not_found,0,100
aapkmanagement.com,appfolio,,high,homepage_fetch,0,100
aarealty.com,appfolio,,high,homepage_fetch,0,100
aaronpropertyus.com,unknown,,low,not_found,0,200
aarsny.com,yardi,,low,recovery:dns_spf,0,0
abacusavenuepropertymanagement.com,unknown,,low,not_found,0,100
abarents.com,appfolio,,high,homepage_fetch,0,0
abbeyroweapts.com,unknown,,low,not_found,0,100
abbittrentals.com,unknown,,low,not_found,0,200
abbott-properties.com,appfolio,abbott.appfolio.com,high,homepage_fetch,1,100
abc-manager.com,rentvine,abcmanager.rentvine.com,high,homepage_fetch,0,100
abcfamilyllc.com,rentvine,www.rentvine.com,high,homepage_fetch,0,100
abcmanagement.org,unknown,,low,not_found,0,100
abcmanagementidaho.com,appfolio,abetterchoice.appfolio.com,low,secondary_page:/p/RentWater-Payments,0,100
abetterproperty.com,appfolio,abetterproperty.appfolio.com,high,homepage_fetch,1,500
abileneleasing.com,unknown,,low,not_found,0,100
ablepm.com,appfolio,,high,homepage_fetch,0,200
abode-mgmt.com,buildium,abode-mgmt.managebuilding.com,high,homepage_fetch,0,100
abodebucks.com,unknown,,low,not_found,0,200
abodeclarksville.com,appfolio,abodemanagement.appfolio.com,high,homepage_fetch,1,200
abodeproperties.net,rentmanager,abode.twa.rentmanager.com,high,homepage_fetch,0,200
abodiaproperties.com,unknown,,low,not_found,0,100
abornpowers.com,custom:www.abornpowersre.com,,medium,homepage_custom_portal,0,100
abornproperties.com,appfolio,abornpm.appfolio.com,high,homepage_fetch,1,100
aboveallpm.com,rentvine,aboveallpm.rentvine.com,high,homepage_fetch,0,100
aboveandbeyondrentals.com,appfolio,,high,homepage_fetch,0,0
abovepropertymanagement.com,appfolio,abovepm.appfolio.com,high,homepage_fetch,1,0
abovethebayre.com,unknown,,low,not_found,0,100
abpm-llc.com,unknown,,low,not_found,0,100
abqpropertiesnm.com,unknown,,low,not_found,0,200
abramshomes.com,appfolio,abramsrealty.appfolio.com,high,subdomain_probe,1,400
absolutemountainpropertymanagement.com,unknown,,low,not_found,0,100
absoluterealestatemgmt.com,appfolio,,high,homepage_fetch,0,100
abundanceps.com,unknown,,low,not_found,0,100
acacia-partners.com,propertyware,app.propertyware.com,high,homepage_fetch,0,100
acaciapmrealty.com,unknown,,low,not_found,0,100
accelerationrentals.com,appfolio,,high,homepage_fetch,0,100
accelpropertymanagement.com,unknown,,low,not_found,0,100
